id;datum;fallzahl;neue_faelle;genesene;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
1716;2021-10-08;210100;445;199117;3647;82,9;8,9;2,5;8,3
1713;2021-10-07;209655;516;198555;3646;82,1;9,7;2,9;7,9
1710;2021-10-06;209139;749;198061;3641;84,7;9,8;2,8;8,3
1707;2021-10-05;208390;584;197544;3635;82,5;8,2;2,9;8,3
1704;2021-10-04;207806;659;196995;3631;82,0;5,8;2,6;8,1
1701;2021-10-03;207147;24;196423;3628;81,1;2,5;2,7;
1698;2021-10-02;207123;67;196241;3628;81,1;'-0,5';2,7;
1695;2021-10-01;207056;521;195993;3628;80,8;'-3,5';2,7;9,3
1692;2021-09-30;206535;664;195511;3627;78,5;'-7,1';2,8;8,8
1689;2021-09-29;205871;635;195081;3625;75,3;'-10,3';3,0;8,9
1686;2021-09-28;205236;656;194580;3625;73,2;'-12,2';2,8;8,6
1683;2021-09-27;204580;332;193958;3625;73,1;'-13,1';2,7;8,3
1680;2021-09-26;204248;17;193401;3624;72,7;'-13,3';3,0;
1677;2021-09-25;204231;112;193173;3624;73,1;'-13,1';3,0;
1674;2021-09-24;204119;422;192910;3624;71,9;'-12,6';3,0;8,1
1671;2021-09-23;203697;450;192399;3622;73,3;'-10,9';2,5;8,1
1668;2021-09-22;203247;607;191910;3621;75,2;'-8,4';2,5;8,3
1665;2021-09-21;202640;429;191314;3620;78,6;'-6,0';2,6;7,9
1662;2021-09-20;202211;647;190785;3619;82,1;'-4,8';2,6;8,3
1659;2021-09-19;201564;6;190207;3616;82,1;'-3,7';2,4;
1656;2021-09-18;201558;114;189945;3616;82,4;'-2,4';2,4;
1653;2021-09-17;201444;357;189655;3616;85,8;'-0,7';2,4;7,4
1650;2021-09-16;201087;492;189129;3615;88,9;0,6;2,6;7,6
1647;2021-09-15;200595;685;188691;3611;89,7;1,0;2,7;7,7
1644;2021-09-14;199910;655;188139;3609;90,5;1,5;2,6;7,5
1641;2021-09-13;199255;761;187587;3607;90,4;2,9;2,6;7,3
1638;2021-09-12;198494;18;187013;3602;91,1;4,3;2,6;
1635;2021-09-11;198476;187;186738;3602;92,3;5,4;2,6;
1632;2021-09-10;198289;458;186455;3602;90,6;5,8;2,6;7,6
1629;2021-09-09;197831;541;186004;3602;87,7;6,3;2,8;7,5
1626;2021-09-08;197290;751;185571;3599;87,7;7,8;3,0;7,1
1623;2021-09-07;196539;548;185046;3598;91,5;9,8;2,8;7,1
1620;2021-09-06;195991;858;184588;3597;90,0;10,8;3,1;7,5
1617;2021-09-05;195133;17;184110;3596;90,3;11,4;2,7;
1614;2021-09-04;195116;137;183869;3596;89,2;11,3;2,7;
1611;2021-09-03;194979;413;183609;3596;88,2;10,7;2,7;6,0
1608;2021-09-02;194566;533;183295;3595;89,0;10,0;2,3;5,4
1605;2021-09-01;194033;736;182987;3593;87,9;8,3;2,2;5,4
1602;2021-08-31;193297;909;182613;3593;82,9;6,4;2,5;4,9
1599;2021-08-30;192388;586;182320;3593;81,6;6,2;2,4;4,8
